"sex","birth","marriage","religion","income"
2,1936,2,1,NA
2,1945,2,1,NA
1,1948,2,2,NA
1,1942,3,1,204
2,1923,2,1,NA
1,1962,1,1,NA
2,1963,1,1,NA
2,2003,0,1,NA
1,1927,1,1,NA
2,1934,1,1,NA
2,1940,2,1,20
2,1970,3,1,NA
2,1992,5,1,NA
1,1940,1,2,NA
2,1941,1,2,NA
1,1962,5,1,NA
1,1978,1,2,316.3
2,1975,1,2,176.67
2,2004,0,2,NA
2,2008,0,2,NA
1,1941,1,2,NA
2,1942,1,1,66.7
1,1964,5,2,NA
2,1940,2,2,NA
1,1975,5,1,500
1,1978,1,1,NA
2,1982,1,1,NA
2,1961,1,2,133
1,1961,1,2,NA
2,1986,5,2,175
2,1962,1,2,140
2,1985,4,2,150
1,1952,1,2,NA
2,1961,3,1,NA
2,1982,1,2,NA
1,1984,1,2,NA
1,1971,5,2,264
2,1945,2,1,NA
1,1943,2,1,NA
2,1939,2,1,NA
1,1937,6,1,NA
2,1945,2,1,NA
1,1975,5,1,NA
1,1972,1,1,NA
2,1974,1,1,400
2,2006,0,1,NA
2,2006,0,1,NA
1,1980,5,2,175
2,1954,3,2,258
2,1941,2,1,NA
1,1955,1,2,NA
2,1961,1,2,NA
2,1983,5,2,150
1,1985,5,2,232
2,1927,2,1,NA
1,1972,1,2,300
2,1973,1,2,180
1,2004,0,1,NA
1,1926,1,2,NA
2,1936,1,2,NA
1,1968,5,2,228
2,1940,2,2,NA
2,1982,1,2,NA
1,1976,1,1,210
1,2010,0,1,NA
2,2012,0,1,NA
2,1937,3,1,20
2,1942,2,2,NA
1,1973,1,2,250
2,1974,1,2,NA
2,2009,0,2,NA
1,1959,1,2,225
2,1967,1,2,NA
2,1995,5,2,NA
2,1998,0,2,NA
1,1955,1,1,NA
2,1958,1,1,180
1,1982,5,1,190
1,1968,1,1,934
2,1970,1,1,NA
1,1994,5,1,NA
1,1999,0,1,NA
1,1973,1,1,583.3
2,1975,1,1,28
1,2004,0,1,NA
2,2007,0,1,NA
1,1950,1,1,260.8
2,1956,1,1,195
1,1930,1,2,NA
2,1938,1,2,NA
2,1962,2,1,158.8
2,1991,5,1,170
1,1955,1,1,NA
2,1959,1,1,NA
2,1989,5,1,150
2,1995,5,1,NA
2,1997,5,1,NA
2,1982,5,2,188
2,1985,5,2,178.4
2,1957,4,2,110
2,1982,1,2,NA
2,1986,5,2,179.2
1,1973,1,2,NA
1,2010,0,2,NA
2,2012,0,2,NA
2,1955,4,2,NA
1,1975,5,2,242.4
1,1947,1,1,NA
2,1956,1,1,169.8
1,1980,5,1,599.7
1,1954,1,1,275
2,1960,1,1,NA
1,1978,5,1,367.9
2,1983,5,1,156
1,1981,5,1,110
1,1966,1,2,516.7
2,1971,1,2,20
1,1995,5,2,NA
2,1999,0,2,NA
2,1946,2,2,NA
1,1970,5,2,NA
1,1965,1,1,185
2,1968,1,1,120
2,1998,0,1,NA
2,2001,0,1,NA
1,1958,1,1,272
2,1959,1,1,NA
1,1988,5,1,96
1,1991,5,1,146
2,1985,5,1,151.5
1,1960,1,1,228.8
2,1960,1,1,134.6
1,1987,1,2,226.7
2,1989,5,1,130
2,1986,1,2,NA
1,2013,0,2,NA
1,1961,3,2,170
2,1992,5,2,87
2,1996,5,2,NA
2,1933,2,2,NA
1,1967,3,2,NA
2,1994,5,2,NA
1,1934,1,2,NA
2,1937,1,2,NA
1,1956,1,1,1200
2,1960,1,1,NA
1,1986,5,1,120
2,2004,0,1,NA
1,1927,1,2,NA
2,1934,1,1,NA
1,1935,1,2,NA
2,1941,1,2,NA
1,1936,1,2,NA
2,1940,1,2,NA
1,1957,1,2,312
2,1960,1,2,NA
1,1983,5,2,195.5
1,1950,1,2,245
2,1953,1,2,163
1,1962,1,2,260
2,1963,1,1,101.8
2,1989,5,2,168
1,1992,5,1,NA
1,1959,1,2,510
2,1961,1,1,NA
2,1990,5,2,233.3
1,1954,1,1,185
2,1955,1,1,NA
2,1989,5,1,191.7
1,1971,1,1,NA
2,1977,1,2,NA
2,2000,0,2,NA
1,2002,0,2,NA
1,2004,0,2,NA
2,2014,0,2,NA
2,1939,2,1,NA
1,1949,1,1,NA
2,1954,1,1,100
1,1978,1,1,445
2,1982,1,1,NA
2,2014,0,1,NA
1,1942,1,1,NA
2,1949,1,1,NA
1,1998,0,2,NA
2,1980,1,2,99.2
1,1980,1,2,391.7
1,1975,1,2,631
2,1974,1,2,451.7
2,2006,0,2,NA
2,2008,0,2,NA
2,2011,0,2,NA
2,1957,3,1,NA
2,1943,2,1,109.6
1,1973,5,1,270
1,1960,1,1,400
2,1966,1,1,180
2,1991,5,2,170
2,1943,2,1,NA
2,1924,2,1,NA
2,1971,1,1,100
2,1998,0,1,NA
2,1999,0,1,NA
1,1968,1,2,210
1,1958,1,1,284.6
2,1958,1,1,132.3
1,1986,1,2,178.3
1,1984,5,1,236
2,1984,1,2,NA
1,2013,0,2,NA
1,1966,1,1,372
2,1968,1,1,72.5
1,2000,0,1,NA
1,1974,1,2,252.9
2,1973,1,2,168.1
2,2003,0,2,NA
1,2004,0,2,NA
1,1959,1,1,229.6
2,1959,1,1,158
2,1984,5,1,NA
1,1986,5,1,250
1,1960,1,2,138
2,1960,1,1,130
1,1988,5,2,150
1,1985,5,2,410
2,1960,4,1,NA
1,1987,5,1,123.2
2,1943,4,1,82.1
2,1971,5,1,219.6
1,1959,1,2,NA
2,1965,1,2,NA
1,1987,5,2,112.5
2,1988,5,2,212
1,1938,3,1,NA
2,1939,2,1,NA
1,1964,5,1,201.7
1,1969,1,2,259
2,1977,1,2,162
2,1939,2,1,NA
2,2006,0,2,NA
1,2010,0,2,NA
2,1971,1,1,275
1,1966,1,1,150
1,2011,0,1,NA
1,1965,5,1,NA
2,1958,3,1,220.8
1,1987,5,1,191.3
1,1938,2,2,NA
2,1942,2,1,NA
1,1925,1,2,NA
2,1936,1,2,NA
2,1953,2,1,NA
1,1978,1,1,498.3
1,1979,1,1,583.3
2,1979,1,1,NA
1,2009,0,1,NA
1,2011,0,1,NA
2,1946,3,2,NA
1,1957,5,2,62.7
2,1934,2,1,NA
1,1972,1,2,NA
2,1965,1,2,NA
1,1999,0,2,NA
2,1958,1,1,NA
2,1983,1,2,0
1,1984,1,2,280
1,1955,1,1,NA
1,1975,1,2,345
2,1984,1,2,NA
1,2014,0,2,NA
2,2013,0,2,NA
1,1945,3,2,190
2,1982,5,2,226.3
2,1957,2,1,NA
2,1979,1,2,140
1,1982,5,1,208
1,1975,1,2,426.7
1,2012,0,2,NA
1,1932,1,1,NA
2,1940,1,1,NA
1,1952,3,1,NA
1,1952,1,1,NA
2,1950,1,1,NA
2,1980,5,1,NA
1,1959,1,1,288.8
2,1962,1,1,163.3
2,1986,5,1,233.3
2,1989,5,1,183.3
1,1967,1,2,NA
2,1968,1,2,233
2,1995,5,2,NA
1,2000,0,2,NA
1,1973,1,2,453.6
2,1976,1,1,NA
1,2006,0,1,NA
1,1973,1,2,416.3
2,1973,1,2,125
2,2000,0,2,NA
1,2002,0,2,NA
1,1964,1,1,326.6
2,1962,1,1,54.8
1,1990,5,1,40
2,1991,5,1,20
1,1947,1,1,NA
2,1958,1,1,NA
1,1976,1,1,NA
2,1981,1,1,106
1,2008,0,1,NA
2,1951,2,1,NA
2,1933,2,1,NA
1,1976,1,1,400
2,1977,1,1,NA
1,2004,0,1,NA
1,2007,0,1,NA
1,1933,1,1,NA
2,1936,1,1,NA
1,1958,1,1,150
2,1962,1,2,120
1,1988,5,1,250
1,1977,1,2,361.7
2,1977,1,2,173.8
2,2007,0,2,NA
2,2009,0,2,NA
1,2011,0,2,NA
1,1935,2,1,NA
1,1985,1,2,189.3
2,1982,1,2,384.5
1,1979,1,2,NA
2,1979,1,2,NA
1,2007,0,2,NA
2,2013,0,2,NA
2,1946,2,2,NA
1,1944,1,1,NA
2,1952,1,1,NA
1,1944,1,1,247
2,1952,1,1,62.4
1,1946,1,1,150
2,1948,1,1,NA
1,1932,1,2,NA
2,1936,1,2,NA
1,1935,1,1,NA
2,1942,1,1,NA
1,1977,1,1,458.3
2,1979,1,1,NA
1,2006,0,1,NA
2,2008,0,1,NA
1,1960,5,2,NA
2,1930,2,1,NA
1,1965,1,2,NA
2,1970,1,2,NA
2,1995,5,2,NA
2,2001,0,2,NA
2,1940,2,1,NA
2,1943,2,1,20
1,1938,1,1,NA
2,1946,1,2,NA
1,1954,1,2,NA
