province,office,address,website
서울,서울지방경찰청,서울시 종로구 사직로8길 31,http://www.smpa.go.kr/
서울,서울강남경찰서,서울시 강남구 테헤란로 114길 11,http://www.smpa.go.kr/gn/
서울,서울강동경찰서,서울시 강동구 성내로 57,http://www.smpa.go.kr/gd/
서울,서울강북경찰서,서울시 강북구 오패산로 406,http://www.smpa.go.kr/gb/
서울,서울강서경찰서,서울시 양천구 화곡로 73,http://www.smpa.go.kr/gs/
서울,서울관악경찰서,서울시 관악구 관악로5길 33,http://www.smpa.go.kr/ga/
서울,서울광진경찰서,서울시 광진구 자양로 167,http://www.smpa.go.kr/gj/
서울,서울구로경찰서,서울시 구로구 가마산로 235,http://www.smpa.go.kr/gr/
서울,서울금천경찰서,서울시 금천구 시흥대로73길 50,http://www.smpa.go.kr/gc/
서울,서울남대문경찰서,서울시 중구 한강대로 410,http://www.smpa.go.kr/ndm/
서울,서울노원경찰서,서울시 노원구 노원로 283,http://www.smpa.go.kr/nw/
서울,서울도봉경찰서,서울시 도봉구 노해로 403,http://www.smpa.go.kr/db/
서울,서울동대문경찰서,서울시 동대문구 약령시로21길 29,http://www.smpa.go.kr/ddm/
서울,서울동작경찰서,서울시 동작구 노량진로 148,http://www.smpa.go.kr/dj/
서울,서울마포경찰서,서울시 마포구 마포대로 183,http://www.smpa.go.kr/mp/
서울,서울방배경찰서,서울시 서초구 동작대로 204,http://www.smpa.go.kr/bb/
서울,서울서대문경찰서,서울 서대문구 통일로 113,http://www.smpa.go.kr/sdm/
서울,서울서부경찰서,서울시 은평구 통일로 757,http://www.smpa.go.kr/seobu/
서울,서울서초경찰서,서울시 서초구 반포대로 179,http://www.smpa.go.kr/sc/
서울,서울성동경찰서,서울시 성동구 왕십리광장로 9,http://www.smpa.go.kr/sd/
서울,서울성북경찰서,서울 성북구 보문로 170,http://www.smpa.go.kr/sb/
서울,서울송파경찰서,서울시 송파구 중대로 221,http://www.smpa.go.kr/sp/
서울,서울수서경찰서,서울시 강남구 개포로 617,http://www.smpa.go.kr/ss/
서울,서울양천경찰서,서울시 양천구 목동동로 99,http://www.smpa.go.kr/yc/
서울,서울영등포경찰서,서울시 영등포구 국회대로 608,http://www.smpa.go.kr/ydp/
서울,서울용산경찰서,서울시 용산구 원효로89길 24,http://www.smpa.go.kr/ys/
서울,서울은평경찰서,서울시 은평구 연서로 365,http://www.smpa.go.kr/ep/
서울,서울종로경찰서,서울시 종로구 율곡로 46,http://www.smpa.go.kr/jn/
서울,서울종암경찰서,서울시 성북구 종암로 135,http://www.smpa.go.kr/ca/
서울,서울중랑경찰서,서울시 중랑구 신내역로3길 40-10,http://www.smpa.go.kr/jnp/
서울,서울중부경찰서,서울시 중구 수표로 27,http://www.smpa.go.kr/cb/
서울,서울혜화경찰서,서울시 종로구 창경궁로 112-16,http://www.smpa.go.kr/hh/
부산,부산지방경찰청,부산 연제구 중앙대로 999,http://www.bspolice.go.kr
부산,부산강서경찰서,부산 강서구 명지 국제1로 305,http://www.bspolice.go.kr/gangseo
부산,부산금정경찰서,부산 금정구 중앙대로 1819,http://www.bspolice.go.kr/geumjeong
부산,부산남부경찰서,부산 남구 횡령대로319번가길 81,http://www.bspolice.go.kr/nambu
부산,부산동래경찰서,부산 동래구 명륜로 70,http://www.bspolice.go.kr/dongnae
부산,부산동부경찰서,부산 동구 중앙대로 387,http://www.bspolice.go.kr/dongbu
부산,부산진경찰서,부산 부산진구 부전로111번길 6,http://www.bspolice.go.kr/busanjin
부산,부산북부경찰서,부산 북구 화명신도시로 63,http://www.bspolice.go.kr/bukbu
부산,부산사상경찰서,부산 사상구 학감대로 264,http://www.bspolice.go.kr/sasang
부산,부산사하경찰서,부산 사하구 을숙도대로 665,http://www.bspolice.go.kr/saha
부산,부산서부경찰서,부산 서구 대영로 16,http://www.bspolice.go.kr/seobu
부산,부산영도경찰서,부산 영도구 태종로 46,http://www.bspolice.go.kr/yeongdo
부산,부산연제경찰서,부산 연제구 토곡로 26,http://www.bspolice.go.kr/yeonje
부산,부산중부경찰서,부산 중구 중앙대로 105,http://www.bspolice.go.kr/jungbu
부산,부산해운대경찰서,부산 해운대구 해운대로 129,http://www.bspolice.go.kr/haeundae
부산,부산기장경찰서,부산 기장군 일광면 기장대로 692,http://www.bspolice.go.kr/gijang
대구,대구지방경찰청,대구 수성구 무학로 227,http://www.dgpolice.go.kr
대구,대구남부경찰서,대구 남구 대명로 249,http://www.dgpolice.go.kr/nambu
대구,대구달서경찰서,대구 달서구 학산로 55,http://www.dgpolice.go.kr/dalseo
대구,대구달성경찰서,대구 달성군 현풍면 현풍중앙로 16,http://www.dgpolice.go.kr/dalseong
대구,대구동부경찰서,대구 동구 반야월북로 209,http://www.dgpolice.go.kr/dongbu
대구,대구북부경찰서,대구 북구 원대로 100,http://www.dgpolice.go.kr/bukbu
대구,대구서부경찰서,대구 서구 국채보상로 249,http://www.dgpolice.go.kr/seobu
대구,대구수성경찰서,대구 수성구 달구벌대로 2460,http://www.dgpolice.go.kr/suseong
대구,대구중부경찰서,대구 중구 경상감영길 55,http://www.dgpolice.go.kr/jungbu
대구,대구성서경찰서,대구 달서구 달구벌대로259길 15,http://www.dgpolice.go.kr/seongseo
대구,대구강북경찰서,대구 북구 동암로 130,http://www.dgpolice.go.kr/gangbuk
인천,인천지방경찰청,인천 남동구 예술로152번길 9,https://www.icpolice.go.kr
인천,인천강화경찰서,인천 강화군 강화읍 동문안길 17,https://www.icpolice.go.kr/police.php?dcode=gw
인천,인천계양경찰서,인천 계양구 계산새로 68,https://www.icpolice.go.kr/police.php?dcode=gy
인천,인천남동경찰서,인천 남동구 남동대로 668,https://www.icpolice.go.kr/police.php?dcode=nd
인천,인천남부경찰서,인천 남구 매소홀로290번길 32,https://www.icpolice.go.kr/police.php?dcode=nb
인천,인천부평경찰서,인천 부평구 길주로 511,https://www.icpolice.go.kr/police.php?dcode=bp
인천,인천서부경찰서,인천 서구 탁옥로 77,https://www.icpolice.go.kr/police.php?dcode=sb
인천,인천연수경찰서,인천 연수구 원인재로 138,https://www.icpolice.go.kr/police.php?dcode=ys
인천,인천중부경찰서,인천 중구 제물량로 237,https://www.icpolice.go.kr/police.php?dcode=jb
인천,인천삼산경찰서,인천 부평구 굴포로 104,https://www.icpolice.go.kr/police.php?dcode=ss
