구분,죄종,발생검거,건수,year
중부,살인,발생,1,2000
중부,살인,검거,1,2000
중부,강도,발생,17,2000
중부,강도,검거,15,2000
중부,강간,발생,14,2000
중부,강간,검거,14,2000
중부,절도,발생,601,2000
중부,절도,검거,569,2000
중부,폭력,발생,1783,2000
중부,폭력,검거,1762,2000
종로,살인,발생,4,2000
종로,살인,검거,4,2000
종로,강도,발생,24,2000
종로,강도,검거,36,2000
종로,강간,발생,18,2000
종로,강간,검거,18,2000
종로,절도,발생,644,2000
종로,절도,검거,385,2000
종로,폭력,발생,1886,2000
종로,폭력,검거,1830,2000
남대문,살인,발생,3,2000
남대문,살인,검거,3,2000
남대문,강도,발생,13,2000
남대문,강도,검거,7,2000
남대문,강간,발생,26,2000
남대문,강간,검거,23,2000
남대문,절도,발생,451,2000
남대문,절도,검거,273,2000
남대문,폭력,발생,1139,2000
남대문,폭력,검거,1132,2000
서대문,살인,발생,3,2000
서대문,살인,검거,2,2000
서대문,강도,발생,33,2000
서대문,강도,검거,28,2000
서대문,강간,발생,54,2000
서대문,강간,검거,44,2000
서대문,절도,발생,747,2000
서대문,절도,검거,312,2000
서대문,폭력,발생,2391,2000
서대문,폭력,검거,2300,2000
혜화,살인,발생,3,2000
혜화,살인,검거,3,2000
혜화,강도,발생,30,2000
혜화,강도,검거,24,2000
혜화,강간,발생,40,2000
혜화,강간,검거,41,2000
혜화,절도,발생,1239,2000
혜화,절도,검거,429,2000
혜화,폭력,발생,2631,2000
혜화,폭력,검거,2444,2000
용산,살인,발생,5,2000
용산,살인,검거,4,2000
용산,강도,발생,52,2000
용산,강도,검거,36,2000
용산,강간,발생,41,2000
용산,강간,검거,39,2000
용산,절도,발생,1090,2000
용산,절도,검거,388,2000
용산,폭력,발생,2667,2000
용산,폭력,검거,2462,2000
성북,살인,발생,3,2000
성북,살인,검거,3,2000
성북,강도,발생,27,2000
성북,강도,검거,24,2000
성북,강간,발생,38,2000
성북,강간,검거,32,2000
성북,절도,발생,629,2000
성북,절도,검거,265,2000
성북,폭력,발생,1877,2000
성북,폭력,검거,1800,2000
동대문,살인,발생,5,2000
동대문,살인,검거,6,2000
동대문,강도,발생,69,2000
동대문,강도,검거,59,2000
동대문,강간,발생,72,2000
동대문,강간,검거,65,2000
동대문,절도,발생,849,2000
동대문,절도,검거,529,2000
동대문,폭력,발생,4284,2000
동대문,폭력,검거,4206,2000
마포,살인,발생,3,2000
마포,살인,검거,5,2000
마포,강도,발생,59,2000
마포,강도,검거,35,2000
마포,강간,발생,71,2000
마포,강간,검거,57,2000
마포,절도,발생,1295,2000
마포,절도,검거,416,2000
마포,폭력,발생,3931,2000
마포,폭력,검거,3678,2000
영등포,살인,발생,6,2000
영등포,살인,검거,7,2000
영등포,강도,발생,47,2000
영등포,강도,검거,34,2000
영등포,강간,발생,50,2000
영등포,강간,검거,44,2000
영등포,절도,발생,1101,2000
영등포,절도,검거,348,2000
영등포,폭력,발생,3225,2000
영등포,폭력,검거,2965,2000
성동,살인,발생,10,2000
성동,살인,검거,10,2000
성동,강도,발생,27,2000
성동,강도,검거,21,2000
성동,강간,발생,39,2000
성동,강간,검거,36,2000
성동,절도,발생,1775,2000
성동,절도,검거,463,2000
성동,폭력,발생,3198,2000
성동,폭력,검거,2871,2000
동작,살인,발생,13,2000
동작,살인,검거,13,2000
동작,강도,발생,53,2000
동작,강도,검거,28,2000
동작,강간,발생,67,2000
동작,강간,검거,60,2000
동작,절도,발생,1448,2000
동작,절도,검거,474,2000
동작,폭력,발생,3367,2000
동작,폭력,검거,3086,2000
광진,살인,발생,2,2000
광진,살인,검거,5,2000
광진,강도,발생,58,2000
광진,강도,검거,54,2000
광진,강간,발생,69,2000
광진,강간,검거,72,2000
광진,절도,발생,1738,2000
광진,절도,검거,697,2000
광진,폭력,발생,4575,2000
광진,폭력,검거,4379,2000
서부,살인,발생,6,2000
서부,살인,검거,6,2000
서부,강도,발생,21,2000
서부,강도,검거,13,2000
서부,강간,발생,33,2000
서부,강간,검거,27,2000
서부,절도,발생,822,2000
서부,절도,검거,324,2000
서부,폭력,발생,3032,2000
서부,폭력,검거,2715,2000
강북,살인,발생,9,2000
강북,살인,검거,8,2000
강북,강도,발생,47,2000
강북,강도,검거,48,2000
강북,강간,발생,47,2000
강북,강간,검거,48,2000
강북,절도,발생,859,2000
강북,절도,검거,458,2000
강북,폭력,발생,3624,2000
강북,폭력,검거,3446,2000
금천,살인,발생,10,2000
금천,살인,검거,9,2000
