연도,자치구,세대,인구,남자,여자,한국인,한국인남자,한국인여자,외국인,외국인남자,외국인여자,인구밀도,면적,세대당인구,고령자
1992,합계,3383169,10969862,5519096,5450766,10935230,5500001,5435229,34632,19095,15537,18121,605.36,3.24,434348
1992,종로구,75752,227988,114648,113340,226240,113677,112563,1748,971,777,9496,24.01,3.01,12096
1992,중구,59667,176836,89537,87299,174605,88268,86337,2231,1269,962,17701,9.99,2.96,8857
1992,용산구,96832,287124,144600,142524,280671,140424,140247,6453,4176,2277,13135,21.86,2.97,13957
1992,성동구,244888,780526,397121,383405,778385,395977,382408,2141,1144,997,22991,33.95,3.19,28493
1992,동대문구,149094,470594,238385,232209,469843,237979,231864,751,406,345,31862,14.77,3.16,19142
1992,중랑구,136876,458391,230937,227454,458109,230799,227310,282,138,144,25284,18.13,3.35,15849
1992,성북구,163995,527296,266530,260766,525943,265830,260113,1353,700,653,21699,24.3,3.22,23020
1992,도봉구,229923,766799,385385,381414,765975,385011,380964,824,374,450,17212,44.55,3.34,29689
1992,노원구,174005,571833,284049,287784,571171,283705,287466,662,344,318,16049,35.63,3.29,24345
1992,은평구,153700,507551,251514,256037,506694,251084,255610,857,430,427,17107,29.67,3.3,20672
1992,서대문구,122844,390140,195000,195140,387201,193554,193647,2939,1446,1493,22054,17.69,3.18,17175
1992,마포구,139628,432453,216103,216350,430650,215127,215523,1803,976,827,18125,23.86,3.1,19178
1992,양천구,150749,508096,255938,252158,507141,255440,251701,955,498,457,28918,17.57,3.37,18625
1992,강서구,132114,437932,219591,218341,437330,219251,218079,602,340,262,10573,41.42,3.31,16907
1992,구로구,229614,738914,378569,360345,738140,378127,360013,774,442,332,22528,32.8,3.22,23553
1992,영등포구,141916,453256,229476,223780,452091,228869,223222,1165,607,558,18546,24.44,3.19,16577
1992,동작구,134670,427486,215826,211660,426725,215421,211304,761,405,356,26114,16.37,3.17,17142
1992,관악구,181386,589655,299359,290296,589171,299093,290078,484,266,218,19887,29.65,3.25,20460
1992,서초구,126592,419765,208470,211295,417177,207084,210093,2588,1386,1202,8865,47.35,3.32,17488
1992,강남구,165325,559068,278053,281015,556120,276432,279688,2948,1621,1327,14280,39.15,3.38,23984
1992,송파구,208638,689419,343176,346243,687788,342352,345436,1631,824,807,20409,33.78,3.3,26144
1992,강동구,164961,548740,276829,271911,548060,276497,271563,680,332,348,22453,24.44,3.33,20995
1993,합계,3430528,10925464,5496638,5428826,10889499,5477845,5411654,35965,18793,17172,18047,605.4,3.18,444277
1993,종로구,74952,222423,111786,110637,221049,111055,109994,1374,731,643,9264,24.01,2.97,12441
1993,중구,57566,167383,84721,82662,165129,83428,81701,2254,1293,961,16755,9.99,2.91,8909
1993,용산구,94248,276439,138562,137877,271379,135727,135652,5060,2835,2225,12646,21.86,2.93,14392
1993,성동구,245399,767976,390698,377278,765944,389602,376342,2032,1096,936,22627,33.94,3.13,28993
1993,동대문구,148308,459000,232465,226535,458149,232036,226113,851,429,422,31076,14.77,3.09,19346
1993,중랑구,140153,460157,232055,228102,459818,231890,227928,339,165,174,25381,18.13,3.28,16205
1993,성북구,163286,514240,260126,254114,512787,259388,253399,1453,738,715,21162,24.29,3.15,23506
1993,도봉구,238014,780472,392106,388366,779610,391700,387910,862,406,456,17519,44.55,3.28,30874
1993,노원구,180152,588188,292198,295990,587399,291794,295605,789,404,385,16522,35.6,3.26,25492
1993,은평구,157781,512196,253810,258386,511461,253436,258025,735,374,361,17257,29.68,3.25,21266
1993,서대문구,123155,381905,190864,191041,378574,189130,189444,3331,1734,1597,21589,17.69,3.1,17428
1993,마포구,138755,422406,211254,211152,420573,210284,210289,1833,970,863,17704,23.86,3.04,19474
1993,양천구,150976,499848,252251,247597,498727,251684,247043,1121,567,554,28449,17.57,3.31,18572
1993,강서구,144770,474434,237793,236641,473643,237427,236216,791,366,425,11454,41.42,3.28,18774
1993,구로구,229870,724230,371238,352992,722928,370702,352226,1302,536,766,22080,32.8,3.15,23671
1993,영등포구,143124,445221,225568,219653,443919,224892,219027,1302,676,626,18217,24.44,3.11,16722
1993,동작구,141571,440361,222150,218211,439453,221649,217804,908,501,407,26900,16.37,3.11,18126
1993,관악구,186324,590442,299756,290686,589811,299462,290349,631,294,337,19914,29.65,3.17,20861
1993,서초구,127335,410719,203981,206738,407993,202552,205441,2726,1429,1297,8680,47.32,3.23,17383
1993,강남구,170433,566379,281304,285075,562792,279362,283430,3587,1942,1645,14426,39.26,3.32,24757
1993,송파구,210844,685260,341403,343857,683439,340497,342942,1821,906,915,20310,33.74,3.25,26266
1993,강동구,163512,535785,270549,265236,534922,270148,264774,863,401,462,21905,24.46,3.28,20819
1994,합계,3455665,10798700,5429554,5369146,10759454,5408827,5350628,39246,20727,18519,17836,605.43,3.12,453369
1994,종로구,73798,214930,107877,107053,213187,106942,106245,1743,935,808,8989,23.92,2.91,12712
1994,중구,55032,156302,79110,77192,153901,77690,76211,2401,1420,981,15677,9.97,2.84,8913
1994,용산구,94534,268689,134290,134399,264188,131830,132358,4501,2460,2041,12286,21.87,2.84,14860
1994,성동구,244808,753072,382753,370319,750814,381520,369294,2258,1233,1025,22221,33.89,3.08,29570
1994,동대문구,146186,443027,224533,218494,442068,224075,217993,959,458,501,31199,14.2,3.03,19615
1994,중랑구,141855,457749,230709,227040,457347,230522,226825,402,187,215,24716,18.52,3.23,16539
1994,성북구,162700,503536,254520,249016,501967,253727,248240,1569,793,776,20511,24.55,3.09,23926
1994,도봉구,240545,775394,389155,386239,774414,388690,385724,980,465,515,17432,44.48,3.22,31989
1994,노원구,182015,589582,292659,296923,588757,292232,296525,825,427,398,16613,35.49,3.24,25895
1994,은평구,161212,511788,253362,258426,510944,252938,258006,844,424,420,17261,29.65,3.17,21674
1994,서대문구,123325,374662,187350,187312,371090,185433,185657,3572,1917,1655,21288,17.6,3.04,17825
1994,마포구,138685,412484,206014,206470,410571,204998,205573,1913,1016,897,17280,23.87,2.97,19781
1994,양천구,151076,492449,248530,243919,491279,247922,243357,1170,608,562,28302,17.4,3.26,18702
1994,강서구,157418,508345,254121,254224,507409,253636,253773,936,485,451,12276,41.41,3.23,20872
1994,구로구,225738,698274,358478,339796,696060,357409,338651,2214,1069,1145,21211,32.92,3.09,23588
1994,영등포구,142594,433512,219952,213560,432060,219124,212936,1452,828,624,17651,24.56,3.04,16985
1994,동작구,144123,440651,222206,218445,439699,221713,217986,952,493,459,26951,16.35,3.06,18867
1994,관악구,186689,578658,293796,284862,577977,293459,284519,681,337,344,19569,29.57,3.1,21075
1994,서초구,131546,412315,204524,207791,409161,202848,206313,3154,1676,1478,8735,47.2,3.13,17742
1994,강남구,177641,572311,283965,288346,568498,281909,286589,3813,2056,1757,14471,39.55,3.22,25087
1994,송파구,212950,680067,338608,341459,678019,337556,340463,2048,1052,996,20067,33.89,3.19,26471
1994,강동구,161195,520903,263042,257861,520044,262654,257390,859,388,471,21192,24.58,3.23,20681
1995,합계,3448124,10595943,5326022,5269921,10550871,5302277,5248594,45072,23745,21327,17491,605.78,3.07,458918
1995,종로구,72488,204733,102852,101881,203086,101960,101126,1647,892,755,8559,23.92,2.82,12624
1995,중구,53096,145646,73608,72038,143138,72132,71006,2508,1476,1032,14608,9.97,2.74,8847
1995,용산구,93163,260993,130403,130590,254579,126809,127770,6414,3594,2820,11934,21.87,2.8,15125
1995,성동구,113262,342648,174128,168520,341582,173541,168041,1066,587,479,20347,16.84,3.03,15036
1995,광진구,129613,391148,198273,192875,389920,197652,192268,1228,621,607,22941,17.05,3.02,14859
1995,동대문구,141352,420069,212978,207091,418985,212458,206527,1084,520,564,29582,14.02,2.97,19398
1995,중랑구,142869,454951,229048,225903,454534,228850,225684,417,198,219,24565,18.52,3.18,17130
1995,성북구,163304,497614,251559,246055,495737,250603,245134,1877,956,921,20269,24.55,3.05,24537
1995,강북구,124571,395078,197924,197154,394548,197679,196869,530,245,285,16734,23.61,3.17,16992
1995,도봉구,117150,374271,188030,186241,373630,187722,185908,641,308,333,17942,20.86,3.19,15637
1995,노원구,185912,599462,297320,302142,598529,296838,301691,933,482,451,16891,35.49,3.22,26969
1995,은평구,161512,503272,249383,253889,502310,248884,253426,962,499,463,16939,29.71,3.12,22036
1995,서대문구,125996,371449,185556,185893,367318,183348,183970,4131,2208,1923,21105,17.6,2.95,18413
1995,마포구,136891,400409,199823,200586,398228,198665,199563,2181,1158,1023,16775,23.87,2.93,19973
1995,양천구,150868,487130,245734,241396,485777,245022,240755,1353,712,641,27996,17.4,3.23,19038
1995,강서구,165058,523606,261503,262103,522409,260888,261521,1197,615,582,12644,41.41,3.17,22066
1995,구로구,124797,383224,196935,186289,382207,196439,185768,1017,496,521,19019,20.15,3.07,13884
1995,금천구,94341,284609,146001,138608,283089,145344,137745,1520,657,863,21759,13.08,3.02,9616
1995,영등포구,140305,417914,211982,205932,416050,210924,205126,1864,1058,806,17016,24.56,2.98,17176
1995,동작구,145265,436684,220287,216397,435601,219727,215874,1083,560,523,26709,16.35,3.01,19276
1995,관악구,183849,558462,283658,274804,557653,283279,274374,809,379,430,18886,29.57,3.04,20959
1995,서초구,131800,407887,202273,205614,404918,200714,204204,2969,1559,1410,8644,47.19,3.09,17947
1995,강남구,179387,559032,277480,281552,554573,275106,279467,4459,2374,2085,14135,39.55,3.12,24483
1995,송파구,212400,669042,333328,335714,666806,332168,334638,2236,1160,1076,19742,33.89,3.15,26466
1995,강동구,158875,506610,255956,250654,505664,255525,250139,946,431,515,20611,24.58,3.19,20431
1996,합계,3456575,10469852,5258247,5211605,10418076,5231039,5187037,51776,27208,24568,17289,605.58,3.03,467766
1996,종로구,72027,199475,100075,99400,197563,99067,98496,1912,1008,904,8339,23.92,2.77,12876
1996,중구,50141,134839,68090,66749,132189,66538,65651,2650,1552,1098,13524,9.97,2.69,8610
1996,용산구,92705,255024,127321,127703,247694,123294,124400,7330,4027,3303,11661,21.87,2.75,15400
1996,성동구,110970,331206,168073,163133,329914,167374,162540,1292,699,593,19668,16.84,2.98,15102
1996,광진구,132324,392217,198786,193431,390739,198026,192713,1478,760,718,23004,17.05,2.96,15327
1996,동대문구,136771,399280,202162,197118,398060,201576,196484,1220,586,634,28079,14.22,2.92,19389
1996,중랑구,152349,478390,240512,237878,477850,240260,237590,540,252,288,25817,18.53,3.14,18694
1996,성북구,162195,487404,245926,241478,485240,244847,240393,2164,1079,1085,19854,24.55,3.01,24843
1996,강북구,121348,379695,189901,189794,379062,189612,189450,633,289,344,16102,23.58,3.13,17066
1996,도봉구,119881,382424,191956,190468,381465,191531,189934,959,425,534,18350,20.84,3.19,16304
1996,노원구,182025,586997,290909,296088,585907,290354,295553,1090,555,535,16554,35.46,3.22,27357
1996,은평구,162474,498532,247166,251366,497417,246605,250812,1115,561,554,16780,29.71,3.07,22668
1996,서대문구,127125,366134,182525,183609,361529,180104,181425,4605,2421,2184,20803,17.6,2.88,18804
1996,마포구,137591,393040,195689,197351,390831,194525,196306,2209,1164,1045,16466,23.87,2.86,20338
1996,양천구,151955,486839,245520,241319,485497,244806,240691,1342,714,628,27963,17.41,3.2,19569
1996,강서구,167739,524006,261657,262349,522640,260946,261694,1366,711,655,12657,41.4,3.12,22690
1996,구로구,124734,378676,194452,184224,377391,193816,183575,1285,636,649,18821,20.12,3.04,14318
1996,금천구,92406,273867,140227,133640,271718,139214,132504,2149,1013,1136,21067,13,2.96,9674
1996,영등포구,138663,408087,206994,201093,405326,205383,199943,2761,1611,1150,16616,24.56,2.94,17634
1996,동작구,145735,434873,219096,215777,433608,218457,215151,1265,639,626,26598,16.35,2.98,19843
1996,관악구,181947,543314,275959,267355,542325,275499,266826,989,460,529,18374,29.57,2.99,21093
1996,서초구,135209,408781,202861,205920,405743,201220,204523,3038,1641,1397,8672,47.14,3.02,18113
1996,강남구,184039,557533,276434,281099,552768,273817,278951,4765,2617,2148,14097,39.55,3.03,24518
1996,송파구,216205,671560,334513,337047,668987,333209,335778,2573,1304,1269,19816,33.89,3.11,27007
1996,강동구,158017,497659,251443,246216,496613,250959,245654,1046,484,562,20247,24.58,3.15,20529
1997,합계,3498506,10389057,5214266,5174791,10336134,5186530,5149604,52923,27736,25187,17157,605.52,2.97,485347
1997,종로구,72919,196611,98650,97961,194696,97646,97050,1915,1004,911,8220,23.92,2.7,13285
1997,중구,49516,129680,65501,64179,126892,63926,62966,2788,1575,1213,13007,9.97,2.62,8870
1997,용산구,91201,245683,122648,123035,238304,118601,119703,7379,4047,3332,11234,21.87,2.69,15767
1997,성동구,111887,326026,165350,160676,324615,164551,160064,1411,799,612,19360,16.84,2.91,15756
1997,광진구,136909,397824,200858,196966,396580,200256,196324,1244,602,642,23333,17.05,2.91,16030
1997,동대문구,136360,389281,197181,192100,388172,196642,191530,1109,539,570,27376,14.22,2.85,20156
1997,중랑구,154699,475662,239097,236565,475089,238830,236259,573,267,306,25698,18.51,3.07,19512
1997,성북구,162586,478812,241471,237341,476502,240325,236177,2310,1146,1164,19504,24.55,2.94,25661
1997,강북구,119941,368412,183966,184446,367787,183687,184100,625,279,346,15624,23.58,3.07,17493
1997,도봉구,123055,388620,194957,193663,387808,194627,193181,812,330,482,18657,20.83,3.16,17372
