gu,total,pop,korean,foreign,aged,foreign_percent,aged_percent
강남구,3238,570500,565550,4950,63167,0.867659947,11.07221735
강동구,1010,453233,449019,4214,54622,0.929764602,12.0516379
강북구,831,330192,326686,3506,54813,1.061806464,16.60034162
강서구,911,603772,597248,6524,72548,1.080540336,12.01579404
관악구,2109,525515,507203,18312,68082,3.484581791,12.95529148
광진구,878,372164,357211,14953,42214,4.017852345,11.34284885
구로구,1884,447874,416487,31387,56833,7.007997785,12.68950642
금천구,1348,255082,236353,18729,32970,7.342344815,12.92525541
노원구,1566,569384,565565,3819,71941,0.670724854,12.63488261
도봉구,825,348646,346629,2017,51312,0.578523775,14.71750716
동대문구,1870,369496,354079,15417,54173,4.172440297,14.66132245
동작구,1302,412520,400456,12064,56013,2.924464268,13.57825075
마포구,980,389649,378566,11083,48765,2.844354791,12.51510975
서대문구,1254,327163,314982,12181,48161,3.723220535,14.72079667
서초구,2297,450310,445994,4316,51733,0.958450845,11.48830805
성동구,1327,311244,303380,7864,39997,2.526635052,12.85068949
성북구,1651,461260,449773,11487,64692,2.490352513,14.02506179
송파구,1081,667483,660584,6899,72506,1.033584376,10.86259875
양천구,2482,479978,475949,4029,52975,0.839413473,11.03696419
영등포구,1277,402985,368072,34913,52413,8.663597901,13.0061913
용산구,2096,244203,229456,14747,36231,6.038828352,14.83642707
은평구,2108,494388,489943,4445,72334,0.899091402,14.63101855
종로구,1619,162820,153589,9231,25425,5.669450927,15.61540351
중구,1023,133240,124312,8928,20764,6.700690483,15.58390874
중랑구,916,414503,409882,4621,56774,1.114829084,13.69688519
